conglome,vivienda,hogar,codperso,ing_laboral,internet,uso_avanzado,joven,mujer
010651,013,11,02,10332,1,1,0,1
010651,055,11,01,29911,1,1,0,0
010651,055,11,02,14357,1,1,0,1
010651,069,11,01,20664,1,1,0,0
010651,069,11,02,12263,1,1,0,1
010651,098,11,01,12563,1,1,0,1
010651,098,11,02,10332,1,1,1,1
011380,097,11,03,10527,1,1,1,1
011380,098,11,03,14540,1,1,0,0
011380,102,11,01,12982,1,0,0,0
011380,150,11,01,14540,1,1,1,0
011380,173,11,01,9331,0,0,0,0
011380,175,11,01,21532,1,1,0,0
015001,024,11,01,8448,1,1,0,1
015001,085,11,01,12189,1,1,0,0
015001,085,11,02,13094,1,1,0,1
015001,126,11,03,10137,1,1,0,1
015001,126,11,04,21482,1,1,0,0
015001,126,11,09,5982,1,1,1,1
015001,163,11,02,26852,1,1,1,1
015003,054,11,01,26931,1,1,0,0
015003,054,11,02,21401,1,1,0,1
015003,054,11,03,31741,1,1,1,1
015003,083,11,01,6367,1,1,0,0
015003,083,11,03,16039,1,1,0,0
015003,128,11,02,6252,1,1,0,0
015003,156,11,01,21401,1,1,1,0
015003,156,11,02,10700,1,1,1,1
015004,027,11,01,7191,1,0,0,0
015004,042,11,02,16626,1,1,1,0
015004,042,11,03,8510,1,1,1,1
015004,058,11,01,10907,1,1,0,1
015005,024,11,05,20689,1,1,1,1
015005,046,11,01,62491,1,1,0,0
015005,046,11,02,23413,1,1,0,1
015005,069,11,01,69327,1,1,0,1
015005,090,11,03,29400,1,1,0,0
015005,101,11,02,41998,1,1,0,0
015006,013,11,01,8025,1,0,0,0
015006,027,11,01,4671,1,0,0,0
015006,064,11,03,9821,1,1,1,0
015006,076,11,01,6228,1,1,0,1
015006,087,11,01,16648,1,1,0,1
015007,011,11,03,14844,1,1,1,1
015007,044,11,01,45894,1,1,0,1
015007,044,11,02,42770,1,1,0,0
015007,044,11,03,37424,1,1,1,1
015007,063,11,01,32513,1,0,0,0
015007,063,11,03,16760,1,1,0,1
015007,073,11,01,22085,1,1,0,1
015008,011,11,01,21482,1,1,0,0
015008,011,11,02,33852,1,1,0,1
015008,102,11,01,17801,1,1,0,0
015008,116,11,01,36265,1,1,0,1
015008,116,11,02,18284,1,1,0,0
015008,116,11,06,9293,1,1,0,0
015008,149,11,01,57204,1,1,0,0
015008,183,11,01,8569,1,1,0,1
015009,047,11,01,10001,1,1,0,1
015009,047,11,02,6447,1,1,1,1
015009,071,11,02,17472,1,1,0,1
015009,084,11,01,26811,1,1,1,0
015010,015,11,01,13896,1,1,1,1
015010,015,11,02,14009,1,1,0,0
015010,025,11,01,5151,1,1,0,1
015010,035,11,01,7264,1,1,0,1
015011,006,11,01,35718,1,1,0,0
015011,006,11,03,36257,1,1,1,0
015011,026,11,01,30923,1,1,0,0
015011,026,11,02,18997,1,1,0,1
015011,065,11,02,9289,1,1,0,1
015011,065,11,03,88335,1,1,0,1
015011,104,11,01,17080,1,1,0,0
015011,104,11,02,33320,1,1,0,1
015011,104,11,03,42849,1,1,1,1
015011,121,11,02,9871,1,1,0,1
015012,002,11,01,1800,1,1,0,1
015012,004,11,02,10679,1,1,0,1
015012,045,11,01,11639,1,1,0,0
015012,059,11,01,16558,1,1,0,1
015013,001,11,03,16152,1,1,0,0
015013,016,11,01,9619,1,1,0,0
015013,032,11,02,9679,1,1,1,1
015013,044,11,03,9406,1,1,1,1
015013,078,11,03,26618,1,1,1,0
015014,039,11,01,8510,1,1,0,0
015014,068,11,01,18184,1,1,0,0
015014,068,11,02,16900,1,1,0,1
015014,068,11,03,2397,1,1,1,0
015014,082,11,01,36888,1,1,0,1
015015,002,11,01,11156,1,1,0,0
015015,015,11,01,14855,1,1,0,0
015015,068,11,01,15279,1,1,0,0
015015,068,11,02,6828,1,1,0,1
015015,068,11,06,1617,1,0,0,1
015015,107,11,01,23966,1,1,0,1
015017,002,11,01,22468,1,1,0,1
015018,044,11,02,6419,1,1,0,1
015018,088,11,03,11738,1,1,1,0
015018,109,11,02,4252,1,1,1,1
