conglome,vivienda,hogar,codperso,edad,ing_laboral,internet,uso_avanzado,horas_semanales,edad2,mujer
010651,013,11,02,70,10332,1,1,30,4900,1
010651,055,11,01,52,29911,1,1,60,2704,0
010651,055,11,02,38,14357,1,1,30,1444,1
010651,069,11,01,48,20664,1,1,60,2304,0
010651,069,11,02,40,12263,1,1,60,1600,1
010651,098,11,01,37,12563,1,1,72,1369,1
011380,097,11,03,25,10527,1,1,48,625,1
011380,098,11,03,35,14540,1,1,42,1225,0
011380,102,11,01,48,12982,1,0,20,2304,0
011380,150,11,01,27,14540,1,1,51,729,0
011380,173,11,01,71,9331,0,0,48,5041,0
011380,175,11,01,56,21532,1,1,37,3136,0
015001,024,11,01,49,8448,1,1,98,2401,1
015001,085,11,01,56,12189,1,1,31,3136,0
015001,085,11,02,59,13094,1,1,44,3481,1
015001,126,11,03,35,10137,1,1,60,1225,1
015001,126,11,04,32,21482,1,1,98,1024,0
015001,126,11,09,22,5982,1,1,39,484,1
015001,163,11,02,30,26852,1,1,40,900,1
015003,054,11,01,55,26931,1,1,40,3025,0
015003,054,11,02,54,21401,1,1,36,2916,1
015003,054,11,03,26,31741,1,1,46,676,1
015003,083,11,01,64,6367,1,1,40,4096,0
015003,083,11,03,36,16039,1,1,40,1296,0
015003,128,11,02,37,6252,1,1,40,1369,0
015003,156,11,01,29,21401,1,1,46,841,0
015003,156,11,02,24,10700,1,1,54,576,1
015004,027,11,01,63,7191,1,0,58,3969,0
015004,042,11,02,28,16626,1,1,48,784,0
015004,058,11,01,44,10907,1,1,54,1936,1
015005,024,11,05,29,20689,1,1,54,841,1
015005,046,11,01,58,62491,1,1,36,3364,0
015005,046,11,02,51,23413,1,1,30,2601,1
015005,069,11,01,39,69327,1,1,56,1521,1
015005,090,11,03,69,29400,1,1,40,4761,0
015005,101,11,02,36,41998,1,1,40,1296,0
015006,013,11,01,63,8025,1,0,40,3969,0
015006,027,11,01,73,4671,1,0,48,5329,0
015006,064,11,03,20,9821,1,1,48,400,0
015006,076,11,01,45,6228,1,1,80,2025,1
015006,087,11,01,47,16648,1,1,60,2209,1
015007,011,11,03,30,14844,1,1,44,900,1
015007,044,11,01,53,45894,1,1,40,2809,1
015007,044,11,02,51,42770,1,1,40,2601,0
015007,044,11,03,30,37424,1,1,45,900,1
015007,063,11,01,65,32513,1,0,48,4225,0
015007,063,11,03,38,16760,1,1,36,1444,1
